time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-02-03 09:30:00-05:00,MLTrader,03b9fbcf976241a7a2eac02ad2878b3f,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,MLTrader,03b9fbcf976241a7a2eac02ad2878b3f,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.3500061035156,155.0,0.0
2020-02-04 09:30:00-05:00,MLTrader,3f8bd81a075f4e99b9d98c05caf442a2,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-02-04 09:30:00-05:00,MLTrader,073b5f1d3c9d404f822f3820b801b734,SPY,buy,stop,fill,1,day,0.0,1,stock,328.07000732421875,155.0,0.0
2020-02-10 09:30:00-05:00,MLTrader,0ee8346e9aab4c1ab51ced3c47316909,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,MLTrader,0ee8346e9aab4c1ab51ced3c47316909,SPY,sell,market,fill,1,gtc,0.0,1,stock,331.2300109863281,150.0,0.0
2020-02-11 09:30:00-05:00,MLTrader,b8c1aef73be8453384e92eee5db16112,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-02-11 09:30:00-05:00,MLTrader,4ff3393d59ab4e57ae7d2e624a72c764,SPY,buy,stop,fill,1,day,0.0,1,stock,336.1600036621094,150.0,0.0
2020-02-13 09:30:00-05:00,MLTrader,49b03d541b5a4b05a1e1f9333f25060c,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,MLTrader,49b03d541b5a4b05a1e1f9333f25060c,SPY,sell,market,fill,1,gtc,0.0,1,stock,335.8599853515625,147.0,0.0
2020-02-14 09:30:00-05:00,MLTrader,91f075d1e6764305a736f150a2a80c0d,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-02-14 09:30:00-05:00,MLTrader,db2f62bddff140688c04f1e6b64f37fa,SPY,buy,stop,fill,1,day,0.0,1,stock,337.510009765625,147.0,0.0
2020-03-06 09:30:00-05:00,MLTrader,9180d9828ef146818a6d368753e7a1e7,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,MLTrader,9180d9828ef146818a6d368753e7a1e7,SPY,sell,market,fill,1,gtc,0.0,1,stock,293.1499938964844,168.0,0.0
2020-03-07 09:30:00-05:00,MLTrader,68a8c95594284e68bb89d4161a91912a,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-03-07 09:30:00-05:00,MLTrader,310caeefbb8d4b299a9f15cc21f4206f,SPY,buy,stop,fill,1,day,0.0,1,stock,293.1499938964844,168.0,0.0
2020-03-09 09:30:00-04:00,MLTrader,2fc7f5e85837438d84c7a8b42baf6138,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-09 09:30:00-04:00,MLTrader,2fc7f5e85837438d84c7a8b42baf6138,SPY,sell,market,fill,1,gtc,0.0,1,stock,284.6400146484375,173.0,0.0
