time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-12-04 09:30:00-05:00,MLTrader,0b8e93fd040a48718ca710d89215532a,BTC-USD,buy,market,new,1,gtc,0.0,1,stock,,,
2023-12-04 09:30:00-05:00,MLTrader,0b8e93fd040a48718ca710d89215532a,BTC-USD,buy,market,fill,1,gtc,0.0,1,stock,41986.265625,1.191,0.0
2023-12-04 10:30:00-05:00,MLTrader,134c3463d7ae4f88bfa1d0f3159651da,BTC-USD,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-12-04 10:30:00-05:00,MLTrader,8bcc903ba63f47259ad41e7acd5c98ef,BTC-USD,sell,limit,fill,1,day,0.0,1,stock,44085.578906250004,1.191,0.0
2023-12-04 11:30:00-05:00,MLTrader,103130ba1ff04bfd80bb0c6f2de3f39c,BTC-USD,buy,market,new,1,gtc,0.0,1,stock,,,
2023-12-04 11:30:00-05:00,MLTrader,103130ba1ff04bfd80bb0c6f2de3f39c,BTC-USD,buy,market,fill,1,gtc,0.0,1,stock,41986.265625,1.221,0.0
2023-12-04 12:30:00-05:00,MLTrader,96866e2be1fa41de91c8050b79155d57,BTC-USD,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-12-04 12:30:00-05:00,MLTrader,4b2caa8655784f6899975f39674c078d,BTC-USD,sell,limit,fill,1,day,0.0,1,stock,44085.578906250004,1.221,0.0
2023-12-04 13:30:00-05:00,MLTrader,3c7eeb194a4a424a9a7cbd1b8f1662c2,BTC-USD,buy,market,new,1,gtc,0.0,1,stock,,,
2023-12-04 13:30:00-05:00,MLTrader,3c7eeb194a4a424a9a7cbd1b8f1662c2,BTC-USD,buy,market,fill,1,gtc,0.0,1,stock,41986.265625,1.251,0.0
2023-12-04 14:30:00-05:00,MLTrader,99cc0ec50d4549cf8ef26d1f86475c96,BTC-USD,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-12-04 14:30:00-05:00,MLTrader,3d5f1e7be0054fbcb4c2cb111523d9df,BTC-USD,sell,limit,fill,1,day,0.0,1,stock,44085.578906250004,1.251,0.0
2023-12-04 15:30:00-05:00,MLTrader,60f4f60c20d74be7b76106ce7e10f9e7,BTC-USD,buy,market,new,1,gtc,0.0,1,stock,,,
2023-12-04 15:30:00-05:00,MLTrader,60f4f60c20d74be7b76106ce7e10f9e7,BTC-USD,buy,market,fill,1,gtc,0.0,1,stock,41986.265625,1.282,0.0
2023-12-04 16:30:00-05:00,MLTrader,fa8190251d29401d9fb9e2b6e8aa94e3,BTC-USD,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-12-04 16:30:00-05:00,MLTrader,18ecf859d6504ffa910bfc77a9c69633,BTC-USD,sell,limit,fill,1,day,0.0,1,stock,44085.578906250004,1.282,0.0
2023-12-06 09:30:00-05:00,MLTrader,50b2b4d3a91547469ce0d0fbe2a63594,BTC-USD,buy,market,new,1,gtc,0.0,1,stock,,,
2023-12-06 09:30:00-05:00,MLTrader,50b2b4d3a91547469ce0d0fbe2a63594,BTC-USD,buy,market,fill,1,gtc,0.0,1,stock,43769.1328125,1.261,0.0
2023-12-11 08:30:00-05:00,MLTrader,7fde9a551e4840968d939bd1f085a429,BTC-USD,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-12-11 08:30:00-05:00,MLTrader,a510af6dddd241799bf7af7d84d7d76a,BTC-USD,sell,stop,fill,1,day,0.0,1,stock,41238.734375,1.261,0.0
2023-12-18 09:30:00-05:00,MLTrader,5446399316704282addf801aed0f17fb,BTC-USD,buy,market,new,1,gtc,0.0,1,stock,,,
2023-12-18 09:30:00-05:00,MLTrader,5446399316704282addf801aed0f17fb,BTC-USD,buy,market,fill,1,gtc,0.0,1,stock,42641.51171875,1.257,0.0
