time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-12-22 09:30:00-05:00,MLTrader,5562cff1a4df44a291cbdd13ef49b1e6,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-12-22 09:30:00-05:00,MLTrader,5562cff1a4df44a291cbdd13ef49b1e6,SPY,sell,market,fill,1,gtc,0.0,1,stock,473.8599853515625,106.0,0.0
2023-12-23 09:30:00-05:00,MLTrader,bdc742ed4d99435cb43fdbe770ac0dc2,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-12-23 09:30:00-05:00,MLTrader,25d200c9e8014de7b16ff8e87bc89f23,SPY,buy,stop,fill,1,day,0.0,1,stock,473.8599853515625,106.0,0.0
