datetime,portfolio_value,cash,return
2023-12-01 09:30:00-05:00,100000.0,100000.0,
2023-12-01 10:30:00-05:00,100000.0,100000.0,0.0
2023-12-01 11:30:00-05:00,100000.0,100000.0,0.0
2023-12-01 12:30:00-05:00,100000.0,100000.0,0.0
2023-12-01 13:30:00-05:00,100000.0,100000.0,0.0
2023-12-01 14:30:00-05:00,100000.0,100000.0,0.0
2023-12-01 15:30:00-05:00,100000.0,100000.0,0.0
2023-12-01 16:30:00-05:00,100000.0,100000.0,0.0
2023-12-04 09:30:00-05:00,100000.0,100000.0,0.0
2023-12-04 10:30:00-05:00,100000.0,49994.357640625,0.0
2023-12-04 11:30:00-05:00,102500.28211796876,102500.28211796876,0.02500282117968755
2023-12-04 12:30:00-05:00,102500.28211796876,51235.051789843754,0.0
2023-12-04 13:30:00-05:00,105063.543634375,105063.543634375,0.025007360598833905
2023-12-04 14:30:00-05:00,105063.543634375,52538.72533750001,0.0
2023-12-04 15:30:00-05:00,107689.78454921875,107689.78454921875,0.024996690802502997
2023-12-04 16:30:00-05:00,107689.78454921875,53863.39201796875,0.0
2023-12-05 09:30:00-05:00,110381.10417578125,110381.10417578125,0.024991410632198452
2023-12-05 10:30:00-05:00,110381.10417578125,110381.10417578125,0.0
2023-12-05 11:30:00-05:00,110381.10417578125,110381.10417578125,0.0
2023-12-05 12:30:00-05:00,110381.10417578125,110381.10417578125,0.0
2023-12-05 13:30:00-05:00,110381.10417578125,110381.10417578125,0.0
2023-12-05 14:30:00-05:00,110381.10417578125,110381.10417578125,0.0
2023-12-05 15:30:00-05:00,110381.10417578125,110381.10417578125,0.0
2023-12-05 16:30:00-05:00,110381.10417578125,110381.10417578125,0.0
2023-12-06 09:30:00-05:00,110381.10417578125,110381.10417578125,0.0
2023-12-06 10:30:00-05:00,110381.10417578125,55188.227699218754,0.0
2023-12-06 11:30:00-05:00,110381.10417578125,55188.227699218754,0.0
2023-12-06 12:30:00-05:00,110381.10417578125,55188.227699218754,0.0
2023-12-06 13:30:00-05:00,110381.10417578125,55188.227699218754,0.0
2023-12-06 14:30:00-05:00,110381.10417578125,55188.227699218754,0.0
2023-12-06 15:30:00-05:00,110381.10417578125,55188.227699218754,0.0
2023-12-06 16:30:00-05:00,110381.10417578125,55188.227699218754,0.0
2023-12-07 09:30:00-05:00,109780.8731015625,55188.227699218754,-0.005437806395403477
2023-12-07 10:30:00-05:00,109780.8731015625,55188.227699218754,0.0
2023-12-07 11:30:00-05:00,109780.8731015625,55188.227699218754,0.0
2023-12-07 12:30:00-05:00,109780.8731015625,55188.227699218754,0.0
2023-12-07 13:30:00-05:00,109780.8731015625,55188.227699218754,0.0
2023-12-07 14:30:00-05:00,109780.8731015625,55188.227699218754,0.0
2023-12-07 15:30:00-05:00,109780.8731015625,55188.227699218754,0.0
2023-12-07 16:30:00-05:00,109780.8731015625,55188.227699218754,0.0
2023-12-08 09:30:00-05:00,110899.232328125,55188.227699218754,0.01018719559214909
2023-12-08 10:30:00-05:00,110899.232328125,55188.227699218754,0.0
2023-12-08 11:30:00-05:00,110899.232328125,55188.227699218754,0.0
2023-12-08 12:30:00-05:00,110899.232328125,55188.227699218754,0.0
2023-12-08 13:30:00-05:00,110899.232328125,55188.227699218754,0.0
2023-12-08 14:30:00-05:00,110899.232328125,55188.227699218754,0.0
2023-12-08 15:30:00-05:00,110899.232328125,55188.227699218754,0.0
2023-12-08 16:30:00-05:00,110899.232328125,55188.227699218754,0.0
2023-12-11 09:30:00-05:00,107190.27174609376,107190.27174609376,-0.03344442070669429
2023-12-11 10:30:00-05:00,107190.27174609376,107190.27174609376,0.0
2023-12-11 11:30:00-05:00,107190.27174609376,107190.27174609376,0.0
2023-12-11 12:30:00-05:00,107190.27174609376,107190.27174609376,0.0
2023-12-11 13:30:00-05:00,107190.27174609376,107190.27174609376,0.0
2023-12-11 14:30:00-05:00,107190.27174609376,107190.27174609376,0.0
2023-12-11 15:30:00-05:00,107190.27174609376,107190.27174609376,0.0
2023-12-11 16:30:00-05:00,107190.27174609376,107190.27174609376,0.0
2023-12-12 09:30:00-05:00,107190.27174609376,107190.27174609376,0.0
2023-12-12 10:30:00-05:00,107190.27174609376,160767.52832421876,0.0
2023-12-12 11:30:00-05:00,105582.95404875,105582.95404875,-0.014994996011868267
2023-12-12 12:30:00-05:00,105582.95404875,158372.30979484375,0.0
2023-12-12 13:30:00-05:00,103999.27337636719,103999.27337636719,-0.014999397266831527
2023-12-12 14:30:00-05:00,103999.27337636719,156000.7282904297,0.0
2023-12-12 15:30:00-05:00,102439.22972894531,102439.22972894531,-0.015000524491898815
2023-12-12 16:30:00-05:00,102439.22972894533,153652.78381097657,2.220446049250313e-16
2023-12-13 09:30:00-05:00,100902.82310648437,100902.82310648437,-0.014998225060128823
2023-12-13 10:30:00-05:00,100902.82310648437,100902.82310648437,0.0
2023-12-13 11:30:00-05:00,100902.82310648437,100902.82310648437,0.0
2023-12-13 12:30:00-05:00,100902.82310648437,100902.82310648437,0.0
2023-12-13 13:30:00-05:00,100902.82310648437,100902.82310648437,0.0
2023-12-13 14:30:00-05:00,100902.82310648437,100902.82310648437,0.0
2023-12-13 15:30:00-05:00,100902.82310648437,100902.82310648437,0.0
2023-12-13 16:30:00-05:00,100902.82310648437,100902.82310648437,0.0
2023-12-14 09:30:00-05:00,100902.82310648437,100902.82310648437,0.0
2023-12-14 10:30:00-05:00,100902.82310648437,100902.82310648437,0.0
2023-12-14 11:30:00-05:00,100902.82310648437,100902.82310648437,0.0
2023-12-14 12:30:00-05:00,100902.82310648437,100902.82310648437,0.0
2023-12-14 13:30:00-05:00,100902.82310648437,100902.82310648437,0.0
2023-12-14 14:30:00-05:00,100902.82310648437,100902.82310648437,0.0
2023-12-14 15:30:00-05:00,100902.82310648437,100902.82310648437,0.0
2023-12-14 16:30:00-05:00,100902.82310648437,100902.82310648437,0.0
2023-12-15 09:30:00-05:00,100902.82310648437,100902.82310648437,0.0
2023-12-15 10:30:00-05:00,100902.82310648437,100902.82310648437,0.0
2023-12-15 11:30:00-05:00,100902.82310648437,100902.82310648437,0.0
2023-12-15 12:30:00-05:00,100902.82310648437,100902.82310648437,0.0
2023-12-15 13:30:00-05:00,100902.82310648437,100902.82310648437,0.0
2023-12-15 14:30:00-05:00,100902.82310648437,100902.82310648437,0.0
2023-12-15 15:30:00-05:00,100902.82310648437,100902.82310648437,0.0
2023-12-15 16:30:00-05:00,100902.82310648437,100902.82310648437,0.0
2023-12-18 09:30:00-05:00,100902.82310648437,100902.82310648437,0.0
2023-12-18 10:30:00-05:00,100902.82310648437,50457.91474320312,0.0
2023-12-18 11:30:00-05:00,100902.82310648437,50457.91474320312,0.0
2023-12-18 12:30:00-05:00,100902.82310648437,50457.91474320312,0.0
2023-12-18 13:30:00-05:00,100902.82310648437,50457.91474320312,0.0
2023-12-18 14:30:00-05:00,100902.82310648437,50457.91474320312,0.0
